5,37,646,792,0,0,0
2,2,562,480,0,0,0
2,42,843,701,1,0,1
2,19,598,642,0,0,0
1,29,655,517,0,0,0
1,46,512,490,0,0,0
1,16,424,647,0,0,0
6,27,505,631,1,0,1
6,3,571,491,0,0,0
6,8,369,631,0,0,0
4,24,476,508,0,0,0
3,25,528,483,1,0,1
3,25,474,613,1,0,1
3,25,670,548,0,0,0
3,25,668,689,1,0,1
3,13,531,745,0,0,0
2,30,821,568,1,0,1
2,32,256,165,0,0,0
2,42,574,617,0,0,0
6,16,676,636,0,0,0
5,47,479,627,0,0,0
3,6,209,237,0,0,0
3,15,785,674,0,0,0
3,18,450,497,0,0,0
2,34,560,501,0,0,0
1,37,328,486,1,0,1
0,22,516,951,0,0,0
0,24,580,451,0,0,0
5,30,271,489,1,0,1
5,39,271,337,0,0,0
3,14,532,569,0,0,0
3,18,711,748,0,0,0
1,27,610,542,0,0,0
1,33,483,900,0,0,0
1,34,334,315,0,0,0
6,26,713,526,0,0,0
4,37,592,822,0,0,0
4,42,456,553,1,0,1
2,39,572,760,0,0,0
1,30,799,612,1,0,1
5,27,886,711,0,0,0
4,36,635,586,0,0,0
3,16,409,875,0,0,0
2,0,555,861,0,0,0
2,22,657,661,0,0,0
2,43,357,483,1,0,1
0,23,671,631,0,0,0
0,24,298,538,0,0,0
0,24,544,473,0,0,0
0,24,719,562,0,0,0
0,24,809,615,0,0,0
0,24,232,513,0,0,0
0,29,482,773,0,0,0
0,29,987,639,0,0,0
0,29,595,602,0,0,0
0,30,631,479,0,0,0
0,30,384,669,0,0,0
0,34,709,503,0,0,0
0,35,902,592,0,0,0
0,35,505,798,0,0,0
0,37,432,933,0,0,0
0,44,336,591,0,0,0
0,17,521,573,1,0,1
0,18,874,649,0,0,0
0,18,564,859,0,0,0
6,21,513,927,0,0,0
6,23,607,582,0,0,0
6,24,808,729,0,0,0
6,26,617,491,0,0,0
6,26,644,486,0,0,0
6,29,598,649,0,0,0
4,27,487,496,0,0,0
4,32,657,852,0,0,0
4,34,463,904,0,0,0
4,37,564,503,0,0,0
4,38,544,781,0,0,0
4,38,380,437,1,0,2
4,39,332,512,1,0,1
4,42,649,521,0,0,0
4,43,890,718,0,0,0
4,46,485,949,0,0,0
4,46,430,818,0,0,0
4,46,461,741,1,0,1
4,5,603,456,0,0,0
4,5,924,761,1,0,1
4,5,597,446,0,0,0
4,10,444,739,1,0,1
3,20,611,642,0,0,0
3,20,454,588,0,0,0
6,41,301,534,1,0,1
3,21,497,483,0,0,0
3,24,493,919,0,0,0
3,24,892,658,1,0,1
3,25,572,591,0,0,0
3,25,289,424,0,0,0
3,25,873,653,0,0,0
3,27,873,653,0,0,0
3,27,419,570,0,0,0
3,29,461,744,0,0,0
3,29,424,585,0,0,0
5,21,627,497,1,0,1
3,33,430,840,0,0,0
3,33,546,814,0,0,0
3,33,375,620,0,0,0
3,33,274,902,0,0,0
3,34,465,499,0,0,0
3,35,262,519,0,0,0
3,35,485,487,0,0,0
3,35,537,545,0,0,0
3,35,362,597,1,0,2
3,35,846,582,0,0,0
3,37,775,593,0,0,0
3,2,650,873,0,0,0
3,40,511,533,0,0,0
3,41,688,505,0,0,0
3,41,276,475,1,0,1
3,43,599,637,0,0,0
3,44,595,681,0,0,0
3,12,675,551,0,0,0
3,12,296,499,1,0,2
3,16,597,649,0,0,0
3,18,351,609,1,0,1
3,18,668,940,1,0,1
2,0,411,636,0,0,0
2,1,612,655,0,0,0
2,1,189,172,0,0,0
2,21,448,572,0,0,0
2,21,232,513,0,0,0
2,24,650,844,1,0,1
2,24,157,211,1,0,1
5,9,262,519,0,0,0
5,9,498,765,0,0,0
5,13,787,684,0,0,0
2,25,456,543,0,0,0
2,29,895,701,0,0,0
2,31,638,476,0,0,0
2,32,891,699,1,0,1
2,32,310,517,1,0,1
2,34,509,440,0,0,0
2,34,619,500,0,0,0
2,36,203,189,0,0,0
2,36,876,717,0,0,0
2,37,478,825,1,1,0
2,40,434,596,1,0,1
2,40,277,550,1,0,1
2,41,537,851,0,0,0
2,41,533,942,1,0,1
2,41,454,944,1,0,1
2,41,507,472,0,0,0
2,17,545,469,0,0,0
1,0,794,552,0,0,0
1,23,265,504,0,0,0
1,23,662,591,0,0,0
1,25,357,445,0,0,0
1,29,644,507,0,0,0
1,29,854,673,0,0,0
1,31,615,494,1,0,1
1,31,873,653,1,0,1
4,16,462,457,0,0,0
1,34,617,548,1,0,2
1,34,576,483,0,0,0
1,38,398,536,0,0,0
1,3,706,505,0,0,0
1,15,497,687,1,0,1
1,17,684,812,0,0,0
0,24,460,904,0,0,0
0,25,663,477,0,0,0
0,25,580,812,0,0,0
3,37,777,580,0,0,0
0,28,306,225,0,0,0
0,28,212,159,1,0,2
0,28,223,249,0,0,0
0,28,449,940,0,0,0
0,29,429,470,0,0,0
0,32,474,610,0,0,0
0,32,352,663,0,0,0
0,33,248,560,1,0,1
0,34,220,253,0,0,0
0,36,603,462,0,0,0
0,38,329,447,0,0,0
0,38,621,509,0,0,0
0,38,644,507,0,0,0
0,39,291,898,0,0,0
0,40,529,832,0,0,0
0,40,318,295,0,0,0
2,28,334,503,0,0,0
6,24,623,635,0,0,0
6,24,647,574,1,0,2
6,24,274,469,0,0,0
6,24,408,552,0,0,0
6,29,336,192,0,0,0
6,30,109,95,0,0,0
6,32,671,534,0,0,0
6,32,428,839,0,0,0
6,32,527,784,1,0,1
2,45,945,727,0,0,0
6,36,274,476,0,0,0
6,37,300,602,1,0,1
6,41,655,608,0,0,0
6,7,796,778,0,0,0
6,8,427,661,0,0,0
6,12,598,642,0,0,0
6,18,396,536,1,0,1
5,21,546,487,0,0,0
5,21,406,504,1,0,2
1,30,600,468,1,0,1
5,23,487,494,0,0,0
5,23,638,507,0,0,0
5,24,417,580,0,0,0
5,24,735,520,0,0,0
5,26,899,697,0,0,0
5,27,786,781,0,0,0
5,27,652,779,1,0,1
5,27,559,489,0,0,0
